place_name,rating,shop_type,sentence,TargetAspect
Coffeecat,3,coffee,"internet is fast, however the price and taste is not that nice hahahaha",Price and Value
Cafe Demitasse,5,coffee,great food.,Product Quality
Starbucks SM Davao Expansion Wing,2,coffee,"Barista didnt bat an eye after he ""shot"" the straw in the paperbag then left",Customer Service
Dunkin' Donuts,3,coffee,may tables and chair to take the food..,Product Quality
Purge Coffee Roaster,5,coffee,Food and beverages are delicious at a reasonable price.,Product Quality
JH Garden Cafe and Restaurant Matina,4,coffee,"A lot on their menu were not available during the time we visited for brunch (both food and drinks) but overall, the vibe of the place is giving that much needed fresh air away from the city traffic without having to travel far away.",Product Quality
The Crazy Bite Co. Sky Cafe,4,coffee,Food is great and the view is wonderful.,Product Quality
Hid'n Coffee,5,coffee,My new favourite place to get espresso You should come See you there,Product Quality
Hid'n Coffee,5,coffee,The durian perfectly complements the coffee without being too strong—just the right amount of boldness.,Product Quality
Cafe Basilico,5,coffee,"But that's my private taste, everyone else might have a different meaning about this.",Product Quality
Umatché by Pickle Space,5,coffee,"The cozy ambiance and friendly staff make it a great place to relax, catch up with friends while playing pickleball.",Ambiance and Atmosphere
Coffee Project Mintal,4,coffee,It has a nice atmosphere and a cool store.,Ambiance and Atmosphere
Orion Coffee,5,coffee,"Good food, greater coffee, cozy and chill ambiance at a reasonable price.",Product Quality
Fourth Street Cafe,5,coffee,CR was clean and a great experience here!,Facilities and Amenities
Finca,1,coffee,"it tasted nothing like matcha, it tasted like water from the ice and oat milk.",Product Quality
The Coffee Bar at GMall of Davao,5,coffee,"Coffee Bar Café is a cozy and welcoming spot with rich, flavorful coffee and tasty treats that perfectly complement every cup.",Product Quality
Starbucks Damosa IT Park Drive-Thru,5,coffee,Starbucks has a way of creating a space that feels both professional and personal.,Facilities and Amenities
Seattle's Best Coffee,2,coffee,Their staff chooses who they serve first in line.,Customer Service
Kanoffee Toril,5,coffee,"We love the atmosphere here, sipping coffee and watching the majestic Mt.",Product Quality
The Yolk Society,5,coffee,New breakfast spot in town with good coffee to start one's day!!,Product Quality
Matcha Bar - Marfori,5,matcha,You can definitely taste the Matcha!,Product Quality
Café de Vivré,5,coffee,best coffee,Product Quality
The Coffee Bar at GMall of Davao,5,coffee,"Super love this coffee bar, like legit  nail_polish  hot_beverage  The vibe is giving cozy but make it estetik, perfect for chill hangs or lowkey work sesh.",Facilities and Amenities
BRGR Alley Café,5,coffee,"The ambiance was cozy and relaxing, and the coffee did not disappoint—it was really good.",Product Quality
Hid'n Coffee,5,coffee,"Parking is limited, with space for only about five cars inside, so it's best to arrive early.",Store Operations and Accessibility
Cafe Basilico,4,coffee,"Everyone, from the staff to the security handling the parking area, were nice and accomodating.",Customer Service
Green Coffee - Marfori,4,coffee,"They specialize in  hot_beverage   chocolate_bar  drinks, cakes, and typical coffee shop fare.",Product Quality
Fourth Street Cafe,5,coffee,"And I love how affordable their food are, very student-friendly.",Customer Service
Daiko Coffee,3,coffee,Affordable rates with some meals and snack items I hope I get to try pretty soon.,Price and Value
Green Coffee - Marfori,2,coffee,The atmosphere is really great.,Ambiance and Atmosphere
Whisk Davao Matcha,5,matcha,"about the place…It gives mi chill and good ambience, about the food and drinks yes it absolutely good well balanced.",Product Quality
Bramble,5,matcha,"Prices may seem a bit high, but quality of food and service balances out.",Customer Service
Starbucks,5,coffee,Ambiance is good.,Ambiance and Atmosphere
Karlo's Gourmet & Coffee,1,coffee,The service is very slow,Customer Service
Wood and Coffee Davao,5,coffee,Their artisanal coffee and delectable pastries make it a standout spot for coffee lovers.,Product Quality
BRGR Alley Café,5,coffee,Prices are just right for the quality with a great atmosphere also saw some adorable cats,Ambiance and Atmosphere
Lately Coffee,4,coffee,Romantic vibe.,Ambiance and Atmosphere
Steep Kohi,5,coffee,The greenest matcha I've ever tried!,Product Quality
Yabo Specialty Coffee,5,coffee,"If you're looking for a chill café with great coffee and a nice vibe, Yabo Coffee is definitely worth visiting.",Product Quality
Floury Cafe,5,matcha,"And I highly recommend their steak fried rice and Lava Cake w/ pistachio kataifi; it looks so sweet, but its sweetness is just moderate …",Product Quality
MANU Coffee,5,coffee,"Good vibe, nice coffee, new togo coffee shop",Product Quality
Coffeecat,3,coffee,The price is a bit expensive but it's tasty unfortunately the wifi is has low or no connection.,Facilities and Amenities
Repeat Coffee,5,coffee,Barista is very mindful in making your drink.,Customer Service
Kiks Davao,5,coffee,I am always rooting for coffee shops who has their own brew.,Product Quality
Starbucks,4,coffee,Great service and ambience.,Customer Service
STASH Coffee Co.,5,coffee,Open for breakfast.,Store Operations and Accessibility
BRGR Alley Café,5,coffee,"Food is good , ambiance of the place is nice and accommodating staffs .",Product Quality
Juice Cubi Roxas Avenue,4,coffee,You can study here I think because I did study here for the clout hahaha.,Facilities and Amenities
Fika Cafe - Lapu-Lapu,5,coffee,"On our first visit, we only had coffee, but this time we also tried their chicken parmigiana pasta and clubhouse sandwich thanks to their 50% anniversary promo.",Product Quality
Green Coffee - Diversion,5,coffee,And more parking at the back.,Store Operations and Accessibility
Kafih - Davao,5,coffee,Food is good and they also had good customer service  smiling_face,Customer Service
KOFI GRAM-BAJADA,4,coffee,"At non-peak hours, it can be quiet aside from the music from the speaker.",Store Operations and Accessibility
The Crazy Bite Co. Sky Cafe,5,coffee,OPEN 24 HOURS!,Store Operations and Accessibility
Steep Kohi,4,coffee,We ordered the Volume 1 Series Matcha.,Product Quality
Bandejas Cafe & Diner,2,coffee,"There were three of us, the food was served one at a time , roughly 10+min at a time.",Product Quality
Seattle's Best Coffee,3,coffee,"Mind you, they are not short on staff.",Customer Service
The Crazy Bite Co. Sky Cafe,5,coffee,Ambiance is a big check !,Ambiance and Atmosphere
Starbucks - SM City Davao,5,coffee,Great place for a cup of coffee.,Product Quality
Kapeweñoz Dacudao,4,coffee,"If you are familiar with Balai Belen in Dacudao, this is the exact same spot…..Go through the gate to the back parking where the cafe is discreetly located…Very limited tables inside and so I decided to take away Iced de Leche and Tiramisu drinks… So far, the lower prices of their coffee was a winning appeal for me.",Product Quality
Barok Cafe and Resto,1,coffee,The staff is amazing.,Customer Service
"What If, Kape?",5,coffee,Looking for good coffee + Cozy vibe?,Ambiance and Atmosphere
Steep Kohi,1,coffee,Expensive.,Price and Value
The Coffee Bar at GMall of Davao,5,coffee,"Friendly staff, Good food, Pretty staff, Glenna and marjorie is a must visit",Product Quality
Hid'n Coffee,5,coffee,the other food truck in their compound also offers breakfast items.,Product Quality
JH Garden Cafe and Restaurant Matina,5,coffee,"Place is unussual as it is settled beside a lake, the vibe is there, service is there, and the food is great!",Ambiance and Atmosphere
The Matcha Tokyo - Azuela High Street,4,matcha,Great matcha latte but 4 star  only for value of money.,Product Quality
JH Garden Cafe and Restaurant Matina,3,coffee,"It just taste like pork and beans, too sweet.",Product Quality
Kotetsu by Wood and Coffee,3,coffee,"In terms of the ambiance/vibe, the place has a brutalist/industrial interior.",Ambiance and Atmosphere
Cafe Gervacios - Pastry and Coffee in Davao City,5,coffee,No wifi.,Facilities and Amenities
Starbucks - SM City Davao,5,coffee,Good coffee and Sandwiches.,Product Quality
WORK CO COWORKING MATINA BRANCH,5,coffee,The staff name krezel is very friendly and accomodating,Customer Service
Bramble,4,matcha,"Usually, I order 2 eggs benny but I was satisfied with one and a matcha latte.",Product Quality
Whisk Davao Matcha,5,matcha,"The whole vibe is super cute, with a calm and cozy feel.",Ambiance and Atmosphere
Barok Cafe and Resto,3,coffee,Hope they would be a little more considerate to those people with child if the order is just one piece of drinks please don't wait 25 mins as per cashier but 35 mins.,Product Quality
Café Joa,4,coffee,"For those who follow the Seventh Day Adventist diet (no pork, no crustaceans, fish w/o scales etc), I would recommend making sure you know what they're serving with the food since one of the side dishes we had on the plate were squid strips.",Product Quality
The Matcha Tokyo - SM Davao,5,matcha,love the matcha salted cream,Product Quality
Matcha Bar - Marfori,5,matcha,So clean and good Ambiance and design is top notch Matcha is next level,Ambiance and Atmosphere
JAS Caffeinated,5,coffee,The staff are very polite and there are excellent loose tea available.,Customer Service
The Coffee Bar at GMall of Davao,4,coffee,Coffee is kinda pricey and just tastes ordinary.,Product Quality
Wild Zebra Coffee,5,coffee,"their staffs are welcoming and friendly, their drinks are surprisingly cheap for a good coffee, and this place is absolutely perfect for studying.",Customer Service
Craft Coffee,5,coffee,"The food and beverages are delicious, the place is cozy, and the staff are quick and accomodating!",Customer Service
Coffee at Yellow Hauz,4,coffee,"Menu ranges from salads to sandwiches, pasta, rice meals, desserts then down to beverages… After ordering the cashier hands over wifi access vouchers……The grilled cheese sandwich was heavy and cheesy/salty for me….I love the subtlety of the caramel latte…The kani salad was adequate for one person (had to ask for a knife)….Clean place…Good internet connection…Luckily, parking was not full…Eagerly await my next visit….",Customer Service
Kafih - Davao,5,coffee,"The food is Good, I was still lacking in rice because there was a lot of meat.",Product Quality
Coffeecat,3,coffee,Nways charging outlet is limited.,Facilities and Amenities
The Matcha Tokyo - SM Davao,5,matcha,Not crowded,Ambiance and Atmosphere
The Bloom Coffee & Start-Up Space,5,coffee,They're also open till midnight.,Store Operations and Accessibility
Lara Mia Café & Bistro,5,coffee,Pizzas are good value for money!,Price and Value
Seattle's Best Coffee,1,coffee,The cashier lady asked if we want our drinks and food served together.,Product Quality
The Matcha Tokyo - SM Davao,5,matcha,Well organized and friendly!,Customer Service
JH Garden Cafe and Restaurant Matina,5,coffee,The food is delicious & the place is nice  heart_suit,Product Quality
Coffee Hub,5,coffee,"I have tried many drinks in my numerous visits, but I think my top favorites are the Matcha Oreo Frappe, and the Strawberry Fruit Juice (Or tea, I'm probably wrong).",Product Quality
WORK CO COWORKING MATINA BRANCH,5,coffee,Highly recommend her for her efficiency and her great attitude!,Customer Service
Barok Cafe and Resto,1,coffee,"first ever coworking space I went to, I still have to deposit 100 and need an ID, is it really expensive???",Price and Value
Coffeecat,5,coffee,Coffee Cat is one of my most fave coffee shops in Davao.,Product Quality
Cafe Tavera,5,coffee,Delicious sea food!,Product Quality
Es.cafe,2,coffee,Food depends.,Product Quality
Cafe Demitasse,4,coffee,The drinks are good too.,Product Quality
